name,link

"Iacovleff, Alexandre",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=12041

"Iams, J. Howard",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=7671

"Ibbetson, Julius Caesar",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=6540

"Ibels, Henri-Gabriel",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4412

"Ibling, Miriam",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=34239

"Ichiro, Fukushima",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4413

"Ida, Shoichi",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=19104

"Iglicki, Suzy",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=26440

"Ignatow, David",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=21168

"Ihle, John Livingston",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4414

"Ikeda, Masuo",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=5925

"Ikeda, Shuzo",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4415

"Ikeda, Tatsuo",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4416

Il Prete Savonese,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=6667

"Iliff, Cynthia Willard",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4417

"Iliff (Koehler), Cynthia Willard",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=33588

"Illies, Karl Wilhelm Arthur",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=30188

"Illingworth, Adeline S.",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4418

"Imai, Toshimitsu",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4419

"Imbert, Barthelemy",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=7016

"Imhof, Joseph A.",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=33589

"Imler, Edgar",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=33590

"Immendorff, J�rg",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=6753

"Imperiale I, Girolamo",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4420

"Ince, Joseph Murray",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=6279

"Ince, William",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=11540

"India, Bernardino",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=2579

Indian 17th Century,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=22947

"Indian 17th Century, Northwest",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=22946

"Indiana, Robert",https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=4421

"Ingham, Charles Cromwell",https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=1410

"Inghirami, Francesco",https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=36250

"Ingouf, Francois-Robert",https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=4422

"Ingouf, Pierre-Charles",https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=4423

Ingouf l'aine,https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=4423

